campaign_name,channel,total_interactions,total_conversions,total_revenue,avg_revenue_per_interaction
Win-back Q3,Email,315,97,80877.02,256.75
VIP Loyalty,Referral,297,72,77660.17,261.48
Referral Push,Email,318,76,77531.33,243.81
Holiday Deals,Paid Search,295,77,76858.41,260.54
Re-engagement,Referral,293,68,75286.25,256.95
Spring Sale,Paid Search,289,76,74579.12,258.06
Summer Launch,Paid Search,302,71,74075.38,245.28
Email Blast Q1,Referral,301,82,73928.74,245.61
Product Upsell,Email,285,70,72847.94,255.61
Year End Promo,Social,305,65,71058.15,232.98
